"method","path","group","path_parameters","bearer_capable","content_type","source_bundles"
"POST","/api/activity/vote-post/","activity","","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/activity/active-gift/","activity","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/activity/notes/","activity","","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/activity/notes/","activity","","True","application/json","86955-db012e2e6cd78c22.js"
"DELETE","/api/v2/activity/notes/{note_id}/","activity","note_id","True",,"86955-db012e2e6cd78c22.js"
"PUT","/api/v2/activity/notes/{note_id}/","activity","note_id","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/activity/partner-gift-reward/","activity","","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/activity/partner-gift-reward/","activity","","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/activity/vote/","activity","","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/battlepass/current/preview/","battlepass","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/battlepass/levels/skip/","battlepass","","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/battlepass/levels/skip/","battlepass","","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/billing/promo-codes/","billing","","True","application/json","86955-db012e2e6cd78c22.js"
"DELETE","/api/billing/withdraw/{withdraw_id}/","billing","withdraw_id","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/billing/coins-exchange/","billing","","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/billing/coins-exchange/","billing","","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/billing/lightning-balance/","billing","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/billing/lightning-payments/","billing","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/billing/users/payments/","billing","","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/billing/withdraw/{withdraw_id}/receipt/","billing","withdraw_id","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/card-gen/generate/","card-gen","","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/card-gen/status/{task_id}/","card-gen","task_id","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/clubs/","clubs","","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/clubs/","clubs","","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/clubs/{club_dir}/buy-perk/{perk_id}/","clubs","club_dir,perk_id","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/clubs/{club_dir}/change_ranks/","clubs","club_dir","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/clubs/{club_dir}/fee-history/","clubs","club_dir","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/clubs/{club_dir}/fee-member/{user_id}/","clubs","club_dir,user_id","True",,"86955-db012e2e6cd78c22.js"
"PUT","/api/v2/clubs/{club_dir}/fee-member/{user_id}/","clubs","club_dir,user_id","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/clubs/{club_dir}/fee-member/{user_id}/adjust/","clubs","club_dir,user_id","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/clubs/{club_dir}/fee-member/auto-pay/","clubs","club_dir","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/clubs/{club_dir}/fee-members/","clubs","club_dir","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/clubs/{club_dir}/fee-settings/","clubs","club_dir","True",,"86955-db012e2e6cd78c22.js"
"PUT","/api/v2/clubs/{club_dir}/fee-settings/","clubs","club_dir","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/clubs/{club_dir}/items-requests/","clubs","club_dir","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/clubs/{club_dir}/items-requests/","clubs","club_dir","True","application/json","86955-db012e2e6cd78c22.js"
"PUT","/api/v2/clubs/{club_dir}/items-requests/{request_id}/","clubs","club_dir,request_id","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/clubs/{club_dir}/members/","clubs","club_dir","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/clubs/{club_dir}/ranks/","clubs","club_dir","True",,"86955-db012e2e6cd78c22.js"
"DELETE","/api/v2/clubs/{club_dir}/ranks/{rank_id}/delete/","clubs","club_dir,rank_id","True",,"86955-db012e2e6cd78c22.js"
"PUT","/api/v2/clubs/{club_dir}/ranks/{rank_id}/edit/","clubs","club_dir,rank_id","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/clubs/{club_dir}/ranks/create/","clubs","club_dir","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/clubs/{club_dir}/regression/","clubs","club_dir","True","application/json","86955-db012e2e6cd78c22.js"
"DELETE","/api/v2/clubs/{dir}/","clubs","dir","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/clubs/{dir}/","clubs","dir","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/clubs/{dir}/","clubs","dir","True","application/json","86955-db012e2e6cd78c22.js"
"PUT","/api/v2/clubs/{dir}/","clubs","dir","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/clubs/{dir}/change_roles/","clubs","dir","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/clubs/{dir}/donate/","clubs","dir","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/clubs/{dir}/donate/history/","clubs","dir","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/clubs/{dir}/kick_members/","clubs","dir","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/clubs/{dir}/leave/","clubs","dir","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/clubs/{dir}/requests/","clubs","dir","True",,"86955-db012e2e6cd78c22.js"
"PUT","/api/v2/clubs/{dir}/requests/{id}/","clubs","dir,id","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/clubs/create-cost/","clubs","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/clubs/perks/","clubs","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/clubs/regressions/","clubs","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/dashboard/{publisher_id}/promo/","dashboard","publisher_id","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/dashboard/{publisher_id}/promo/{promo_id}/stop/","dashboard","publisher_id,promo_id","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/dashboard/{publisher_id}/promo/add/","dashboard","publisher_id","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/dashboard/{publisher_id}/promo/admin/{promo_id}/stop/","dashboard","publisher_id,promo_id","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/dashboard/{publisher_id}/promo/aggregation/","dashboard","publisher_id","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/dashboard/{publisher_id}/promo/billing/","dashboard","publisher_id","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/dashboard/{publisher_id}/promo/billing/buy/","dashboard","publisher_id","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/dashboard/{publisher_id}/promo/billing/buy/","dashboard","publisher_id","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/dashboard/{publisher_id}/promo/statistics/{promo_id}/","dashboard","publisher_id,promo_id","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/dashboard/{publisher_id}/promo/statistics/title/{title_id}/","dashboard","publisher_id,title_id","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/entries/{entry_id}/","entries","entry_id","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/","events","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/advent-calendar/","events","","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/advent-calendar/","events","","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/advent-calendar/opens/","events","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/card-battle/cards/","events","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/card-battle/catacombs/levels/","events","","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/card-battle/catacombs/levels/{level}/enter/","events","level","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/card-battle/catacombs/mini-game/{attempt_id}/resolve/","events","attempt_id","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/card-battle/catacombs/runs/","events","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/card-battle/catacombs/runs/{run_id}/","events","run_id","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/card-battle/catacombs/scrolls/cap-raise/","events","","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/card-battle/catacombs/scrolls/enhance/","events","","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/card-battle/catacombs/scrolls/resurrect/","events","","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/card-battle/catacombs/state/","events","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/card-battle/daily/","events","","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/card-battle/daily/{id}/claim/","events","id","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/card-battle/event-points/buy/","events","","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/card-battle/event-points/buy/","events","","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/card-battle/join/","events","","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/card-battle/locations/","events","","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/card-battle/locations/{id}/raid/","events","id","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/card-battle/potions/","events","","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/card-battle/potions/{id}/use/","events","id","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/card-battle/profile/","events","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/card-battle/pvp/history/","events","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/card-battle/pvp/leaderboard/","events","","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/card-battle/pvp/match/","events","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/card-battle/pvp/match/{id}/","events","id","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/card-battle/pvp/player/{id}/","events","id","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/card-battle/pvp/season/","events","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/card-battle/rewards/","events","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/card-battle/squad/","events","","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/card-battle/squad/","events","","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/card-battle/squad/slot/","events","","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/dungeon-hunters/boss/","events","","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/dungeon-hunters/boss/{id}/attack/","events","id","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/dungeon-hunters/boss/{id}/claim-rewards/","events","id","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/dungeon-hunters/boss/{id}/enter/","events","id","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/dungeon-hunters/boss/{id}/my-chests/","events","id","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/dungeon-hunters/boss/{id}/state/","events","id","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/dungeon-hunters/boss/{id}/top/","events","id","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/dungeon-hunters/boss/config/","events","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/dungeon-hunters/boss/my-active/","events","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/dungeon-hunters/boss/top/total/clubs/","events","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/dungeon-hunters/boss/top/total/users/","events","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/dungeon-hunters/buy-event-points-by-balance/","events","","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/dungeon-hunters/buy-event-points-by-balance/","events","","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/dungeon-hunters/dungeon/","events","","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/dungeon-hunters/dungeon/{dungeon_id}/enter/","events","dungeon_id","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/dungeon-hunters/dungeon/runs/{dungeon_run_id}/mini-game-reward/","events","dungeon_run_id","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/dungeon-hunters/dungeon/runs/{dungeon_run_id}/reward/","events","dungeon_run_id","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/dungeon-hunters/dungeon/runs/{run_id}/cancel/","events","run_id","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/dungeon-hunters/equipment/{user_equipment_id}/equip/","events","user_equipment_id","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/dungeon-hunters/equipment/{user_equipment_id}/unequip/","events","user_equipment_id","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/dungeon-hunters/equipment/inventory/","events","","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/dungeon-hunters/join/","events","","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/dungeon-hunters/my-potions/","events","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/dungeon-hunters/my-profile/","events","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/dungeon-hunters/my-runs/","events","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/dungeon-hunters/top/","events","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/dungeon-hunters/top/clubs/","events","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/dungeon-hunters/top/place/","events","","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/dungeon-hunters/use-mp-potion/","events","","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/eventpoint-balance/","events","","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/new-year-madness/action/","events","","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/new-year-madness/join/","events","","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/new-year-madness/snowman/progress/","events","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/new-year-madness/snowman/top-users/","events","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/new-year-madness/user-team/","events","","True",,"86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/valentine_day/","events","","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/valentine_day/action/","events","","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/valentine_day/buy/","events","","True","application/json","86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/valentine_day/choose/","events","","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/valentine_day/collect/","events","","True",,"86955-db012e2e6cd78c22.js"
"POST","/api/v2/events/valentine_day/collect/","events","","True","application/json","86955-db012e2e6cd78c22.js"
"GET","/api/v2/events/valentine_day/progress/","events","","True",,"86955-db012e2e6cd78c22.js"
